id,gene,log2FC,pval,n_group1,n_group2,padj,neglog10_padj
P40124,Cap1,1.1566666666666665,0.0040448085845841,3,3,0.161949900626908,0.7906193141385139
Q99KF1,Tmed9,1.8966666666666685,0.0041246302257532,3,3,0.161949900626908,0.7906193141385139
P29391,Ftl1,1.7699999999999996,0.0042226201083703,3,3,0.161949900626908,0.7906193141385139
Q9QUJ7,Acsl4,1.916666666666666,0.0041513194495099,3,3,0.161949900626908,0.7906193141385139
P14211,Calr,1.5366666666666688,0.0033775917665255,3,3,0.161949900626908,0.7906193141385139
P60229,Eif3e,2.745000000000001,0.0037276623529205,3,2,0.161949900626908,0.7906193141385139
Q9WV32,Arpc1b,1.9066666666666665,0.0035768266243445,3,3,0.161949900626908,0.7906193141385139
Q61207,Psap,1.9933333333333323,0.0041354664254245,3,3,0.161949900626908,0.7906193141385139
Q9CQS8,Sec61b,1.4266666666666623,0.005085963924074,3,3,0.1632697105746285,0.7870943771152771
P60335,Pcbp1,0.7800000000000011,0.0048856493761741,3,3,0.1632697105746285,0.7870943771152771
